Date,Sector,AUC as on Date
15-Jan-20,Logistics,1770
15-Jan-20,Media,24712
15-Jan-20,Metals & Mining,50219
15-Jan-20,Oil & Gas,299831
15-Jan-20,Pharmaceuticals & Biotechnology,103785
15-Jan-20,Real Estate Investment,0
15-Jan-20,Realty,34831
15-Jan-20,Retailing,35264
15-Jan-20,Software & Services,350717
15-Jan-20,Telecom Services,66462
15-Jan-20,Telecommunications Equipment,159
15-Jan-20,Insurance,79609
15-Jan-20,"Textiles, Apparels & Accessories",39610
15-Jan-20,Airlines,8847
15-Jan-20,Marine Port & Services,15767
15-Jan-20,Roads & Highways,1668
15-Jan-20,Shipping,1335
15-Jan-20,Surface Transportation,39
15-Jan-20,Transport Related Services,9263
15-Jan-20,Airport Services,2807
15-Jan-20,Utilities3,89495
15-Jan-20,Sovereign,0
15-Jan-20,Others4,15135
15-Jan-20,Transportation,41496
15-Jan-20,Household & Personal Products,113486
15-Jan-20,Grand Total,3137216
15-Jan-20,Healthcare Services,21421
15-Jan-20,"Hotels, Restaurants & Tourism",13596
15-Jan-20,,"AUC as on January 15, 2020"
15-Jan-20,,
15-Jan-20,,
15-Jan-20,Automobiles & Auto Components,157396
15-Jan-20,Total Financial Services,1186224
15-Jan-20,Other Financial Services1,492504
15-Jan-20,Capital Goods,98453
15-Jan-20,Chemicals & Petrochemicals,44375
15-Jan-20,Coal,11168
15-Jan-20,Banks,693720
15-Jan-20,Construction Materials,60132
15-Jan-20,Consumer Durables,53326
15-Jan-20,Diversified2,6728
15-Jan-20,Diversified Consumer Services,2696
15-Jan-20,Healthcare Equipment & Supplies,74
15-Jan-20,Food & Drugs Retailing,0
15-Jan-20,"Food, Beverages & Tobacco",110671
15-Jan-20,Forest Materials,997
15-Jan-20,General Industrials,15726
15-Jan-20,Hardware Technology & Equipment,45
15-Jan-20,Commercial Services & Supplies,9375
31-Jan-20,Software & Services,344504
31-Jan-20,Retailing,37787
31-Jan-20,Realty,35668
31-Jan-20,Media,24813
31-Jan-20,Pharmaceuticals & Biotechnology,104431
31-Jan-20,Oil & Gas,280198
31-Jan-20,Metals & Mining,43798
31-Jan-20,Telecom Services,80570
31-Jan-20,Real Estate Investment,0
31-Jan-20,Telecommunications Equipment,151
31-Jan-20,Utilities3,86336
31-Jan-20,Transportation,40034
31-Jan-20,Airlines,8272
31-Jan-20,Logistics,1802
31-Jan-20,Marine Port & Services,14845
31-Jan-20,Roads & Highways,1788
31-Jan-20,Shipping,1190
31-Jan-20,Surface Transportation,38
31-Jan-20,Transport Related Services,9403
31-Jan-20,Airport Services,2697
31-Jan-20,Insurance,78561
31-Jan-20,Sovereign,0
31-Jan-20,"Textiles, Apparels & Accessories",39736
31-Jan-20,Household & Personal Products,109603
31-Jan-20,Consumer Durables,53811
31-Jan-20,Healthcare Services,22962
31-Jan-20,Others4,12180
31-Jan-20,,"AUC as on January 31, 2020"
31-Jan-20,,
31-Jan-20,,
31-Jan-20,Automobiles & Auto Components,153410
31-Jan-20,Total Financial Services,1159259
31-Jan-20,Banks,674617
31-Jan-20,Other Financial Services1,484641
31-Jan-20,Capital Goods,98122
31-Jan-20,"Hotels, Restaurants & Tourism",14471
31-Jan-20,Chemicals & Petrochemicals,42797
31-Jan-20,Commercial Services & Supplies,9438
31-Jan-20,Construction Materials,59282
31-Jan-20,Diversified2,7054
31-Jan-20,Diversified Consumer Services,2815
31-Jan-20,Food & Drugs Retailing,0
31-Jan-20,"Food, Beverages & Tobacco",109785
31-Jan-20,Forest Materials,1002
31-Jan-20,General Industrials,15865
31-Jan-20,Hardware Technology & Equipment,55
31-Jan-20,Healthcare Equipment & Supplies,84
31-Jan-20,Coal,9547
31-Jan-20,Grand Total,3078129
15-Feb-20,Grand Total,3127357
15-Feb-20,General Industrials,15851
15-Feb-20,Utilities3,85191
15-Feb-20,Household & Personal Products,112792
15-Feb-20,"Hotels, Restaurants & Tourism",13924
15-Feb-20,Healthcare Services,23086
15-Feb-20,Healthcare Equipment & Supplies,90
15-Feb-20,Hardware Technology & Equipment,59
15-Feb-20,Forest Materials,942
15-Feb-20,"Food, Beverages & Tobacco",106540
15-Feb-20,Food & Drugs Retailing,0
15-Feb-20,Insurance,75287
15-Feb-20,Diversified2,7466
15-Feb-20,Construction Materials,58881
15-Feb-20,Commercial Services & Supplies,9965
15-Feb-20,Coal,8927
15-Feb-20,Chemicals & Petrochemicals,45671
15-Feb-20,Capital Goods,94485
15-Feb-20,Other Financial Services1,495358
15-Feb-20,Banks,675462
15-Feb-20,Total Financial Services,1170820
15-Feb-20,Consumer Durables,55079
